name,length,build_year,top_speed,beam,gt,guests,crew,broker,charter,yacht_type,series_model_class,builder,naval_architect,exterior_designer,interior_designer,length_at_waterline,max_draught,displacement_tonnage,hull_number,hull_type,classification,cruising_speed,fuel_capacity,water_capacity,engine_make,total_power,hull,superstructure,deck,passenger_rooms,master_rooms,double_rooms,twin_rooms,number_of_decks,range,vip_rooms,refits,single_rooms,triple_rooms,yacht_subtype,convertible,crew_bunk_beds,pullman_beds,mca_compliant,engine_model,build_time,price
@LAST,23.9,2003,31,6,67,6,NA,g-yachts,NA,Motor Yacht,NA,Leopard Yachts,NA,NA,NA,NA,0.91,NA,NA,NA,NA,25,NA,NA,MTU,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850000
1K,33.48,2013,38,7.12,181,9,5,northropandjohnson,NA,Motor Yacht,Mangusta 108,Overmarine,NA,NA,NA,28.57,1.74,105,108/30,Deep V / Planing,BV,32,13000,2000,MTU,5550,GRP,GRP,"GRP,Teak",4,1,1,1,2,400,1,"2020-09-28,2019-07-26,2019-02-07,2022-06-27,2021-09-18,2021-07-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,6495000
21 SEA SANDS,28.96,2009,24,7.62,172,8,5,worthavenueyachts,NA,Motor Yacht,95,Princess,NA,NA,NA,NA,1.83,94,NA,Deep V / Planing,NA,16,9500,1600,MTU,4800,GRP,GRP,Teak,4,1,1,1,2,600,1,2014-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,3437528.6460720506
4 ROSES,56.39,2004,15,10.31,917,10,13,denisonyachtsales,NA,Motor Yacht,Full Displacement,Oceanfast,NA,NA,NA,NA,3.2,NA,77,Full Displacement,LR,12,132281.24,27164.12,Caterpillar,3500,Steel,"Aluminium,GRP",Teak,6,NA,NA,NA,3,5500,NA,2018-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,17416811.806765057
4* PUPPIES,39.62,2003,14.5,8.53,399,10,6,fraseryachts,NA,Motor Yacht,NA,Palmer Johnson,NA,Murray & Associates,"Preston Phillips, A La Mer",36.64,2.21,NA,PJ 235,Semi Displacement,DNV,12,NA,NA,Caterpillar,2000,Aluminium,Aluminium,Teak,NA,NA,NA,NA,3,5040,NA,2022-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,7241727.014391786
46M FRERS TRIMARAN,46.75,2022,29,NA,NA,8,4,camperandnicholsons,NA,Motor Yacht,NA,McConaghy Boats,NA,German Frers,Design Unlimited,NA,NA,NA,NA,Trimaran,NA,12,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4000,NA,NA,NA,NA,Multihull,NA,NA,NA,NA,NA,NA,24291869.09890916
80 VELOCE,25.49,2024,60,6.25,48,6,2,northropandjohnson,NA,Motor Yacht,Veloce 80,Cantieri di Pisa,NA,NA,NA,19.69,1.3,50,80/01,Deep V / Planing,NA,50,8000,1600,MAN,6000,Carbon Fibre,Carbon Fibre,"Carbon Fibre,Teak",3,1,NA,1,2,300,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7200000
A.B. NORMAL,30.12,2006,13,7.19,188,6,4,buyexploreryachts,NA,Motor Yacht,Explorer 95,Inace,Inace,Michael Kirschstein,Michael Kirschstein,27.1,2.34,195,560,Full Displacement,AB,10,47317,9000,Caterpillar,880,Steel,Aluminium,"Steel,Teak",3,1,NA,1,3,4500,1,2009-12-01,NA,NA,"Displacement, Expedition Yacht",NA,NA,NA,NA,NA,NA,6274635.621963517
A2,47,1983,13.5,8.32,458,12,9,edmiston,NA,Motor Yacht,NA,Feadship,NA,NA,NA,38.04,2.4,NA,627,Full Displacement,LR,12.5,50500,20000,Caterpillar,1250,Steel,Aluminium,Teak,6,1,NA,4,3,3500,1,2022-01-01,NA,NA,Classic Yacht,NA,NA,NA,NA,NA,NA,15491795.764964709
ACACIA,40.05,2012,23,8.08,338,10,7,denisonyachtsales,NA,Motor Yacht,40M,Sunseeker,Sunseeker,Sunseeker,Sunseeker,31.19,2.69,230,51611131,Semi Displacement,RINA,13.7,27391.25,4947.53,MTU,6362,Fiberglass,GRP,Teak,5,1,2,2,3,1500,1,NA,NA,NA,Semi-displacement,NA,NA,NA,NA,NA,NA,11453845.448712073
