;LENGTH;BUILD YEAR;TOP SPEED;BEAM;GT;GUESTS;CREW;BROKER;CHARTER;Name:;Yacht Type:;Series, Model, Class:;Builder:;Naval Architect:;Exterior Designer:;Interior Designer:;Length Overall:;Length at Waterline:;Beam:;Max Draught:;Gross Tonnage:;Displacement Tonnage:;Year of Build:;Hull Number:;Hull Type:;Classification:;Max Speed:;Cruising Speed:;Fuel Capacity:;Water Capacity:;Engine Make:;Total power:;Hull:;Superstructure:;Deck:;Guests:;Passenger Rooms:;Master Rooms:;Double Rooms:;Twin Rooms:;Number of Decks:;Range:;;VIP Rooms:;Refits:;Single Rooms:;Triple Rooms:;Yacht Subtype:;Convertible:;Crew bunk beds:;Pullman Beds:;MCA Compliant:;Engine Model;Build time:
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;35.05 m;2016;12.8 kn;8.23 m;145;8;5;https://www.superyachtpartners.com/yachts/shamanna/;Price from €80,000 p/w •;SHAMANNA;Sail Yacht;115 FD;Nautor Swan;German Frers;German Frers;Nautor Swan;35.05 metres;32.84 metres;8.23 metres;5.75 metres;145;95.6;2016;115-002;Monohull;DNV;12.8 kn;10 kn;5500 litres;3000 litres;Scania;900hp;GRP;GRP;Teak;8;4;1;1;2;;;;;;;;;;;;;;
2;24.99 m;2021;;6 m;;;;https://www.galatiyachts.com/yachts/details/2803370/2021/viking/82-cockpit-motor-yacht/;;MANA;Motor Yacht;;Viking;;;;24.99 metres;;6 metres;1.52 metres;;;2021;;;;;;7267.99 litres;1135 litres;MTU;;;;;;;;;;;;;;;;;;;;;;;
3;78.43 m;2011;16 kn;12.4 m;2108;12;23;https://moraviayachting.mc/buy/charter-motor-yacht-amaryllis;Price from €770,000 p/w •;AMARYLLIS;Motor Yacht;;Abeking & Rasmussen;;;;78.43 metres;;12.4 metres;3.35 metres;2108;;2011;6492;Full Displacement;LR;16 kn;14 kn;195000 litres;60000 litres;Caterpillar;4000hp;Steel;Aluminium;Teak;12;6;;;;4;5000 nm;@ 12 kn;;;;;;;;;;;
4;34.36 m;2023;16 kn;7.9 m;275;10;7;https://www.fraseryachts.com/;;GRATEFUL;Motor Yacht;Oasis 34M;Benetti;;;;34.36 metres;;7.9 metres;2 metres;275;;2023;BO203;Full Displacement;RINA;16 kn;14.5 kn;;;MTU;2760hp;Composite;Composite;Teak;10;5;1;2;2;3;;;;;;;;;;;;;
5;34.14 m;2014;25 kn;7.28 m;207;8;5;https://www.denisonyachtsales.com/yacht-listings/Seahawk-112-Westport-Motoryacht-2014-West-Palm-Beach-Florida/8857394;;SEAHAWK;Motor Yacht;112;Westport;;;;34.14 metres;29.5 metres;7.28 metres;1.71 metres;207;107;2014;7751;Semi Displacement;;25 kn;22 kn;20817 litres;3879 litres;MTU;4000hp;GRP;GRP;Teak;8;4;1;2;1;2;2500 nm;@ 22 kn;1;;;;;;;;;;
6;64.01 m;2027;17 kn;10.97 m;1200;14;17;https://www.northropandjohnson.com/;;WIDER 210;Motor Yacht;;Wider;;;;64.01 metres;;10.97 metres;2.44 metres;1200;;2027;;;;17 kn;15 kn;129998.55 litres;20062.67 litres;;;;;;14;7;;;;;;;;;;;;;;;;;
7;55.05 m;2010;15 kn;10.3 m;891;11;12;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/kahalani-feadship-2010;;KAHALANI;Motor Yacht;;Feadship;;;Rémi Tessier;55.05 metres;;10.3 metres;3.47 metres;891;;2010;679;Full Displacement;LR;15 kn;12 kn;97250 litres;28600 litres;Caterpillar;3000hp;Steel;Aluminium;Teak;11;6;;;;3;4500 nm;@ 12 kn;;2020-07-31,2023-04-18;;;;;;;;;
8;61.26 m;2004;16 kn;12.34 m;1444;12;16;https://www.moranyachts.com/luxury-yachts/marguerite/?yacht-type=luxury-yachts-for-sale;;MARGUERITE;Motor Yacht;;Lurssen;;;;61.26 metres;56 metres;12.34 metres;3.73 metres;1444;;2004;13626;Full Displacement;LR;16 kn;12 kn;185000 litres;32100 litres;MTU;4728hp;Steel;Aluminium;Teak;12;6;1;3;1;4;7700 nm;@ 13 kn;1;2021-01-01;;;;;;;;;
9;57.04 m;2012;20 kn;10.24 m;782;12;13;https://www.iyc.com/;Price from $210,000 p/w •;LIBERTY;Motor Yacht;;Trinity Yachts;;;;57.04 metres;;10.24 metres;2.47 metres;782;;2012;50;Semi Displacement;ABS;20 kn;14 kn;87064 litres;15141 litres;Caterpillar;6768hp;Aluminium;Aluminium;Teak;12;6;1;5;;3;;;;2018-01-01;;;;;;;;;
